mass,x,y,z,vx,vy,vz
1.651091669146287355e-01,2.024993805556685872e-02,-8.025533301933673869e-02,5.466458689901229628e-02,9.342093265861284124e+01,2.357186779069734683e+01,0.000000000000000000e+00
1.017803809482741711e-01,1.363688454210429057e+00,3.206040573016609940e+00,-5.644804969874861467e-02,-1.682970083079806045e+02,7.158508505455547777e+01,0.000000000000000000e+00
8.412384719327070659e-02,-2.598305735579345410e-01,-4.949316268225237292e-02,5.611578977178188765e-02,2.537186204461019656e+01,-1.331979027003623628e+02,0.000000000000000000e+00
2.165291813392076770e-01,2.708576922629638561e-01,3.739540033411465347e-01,2.300627352577828966e-02,-1.237583222086361872e+02,8.963908195197858220e+01,0.000000000000000000e+00
2.844057556988611180e-01,7.227562301679657519e-01,6.802154392212935233e-03,4.577877047828841917e-02,-1.526480981524623859e+00,1.621947365518275035e+02,0.000000000000000000e+00
2.370144664940007639e-01,-1.723502972589441851e-01,-5.997746094495736147e-01,-1.072686059448758611e-01,1.537089249140472873e+02,-4.416955716848513447e+01,0.000000000000000000e+00
8.744333885842940912e-01,5.842894334891596486e+00,-2.860303067030809387e+00,-9.361071309917293193e-02,8.917205802729466768e+01,1.821565409217849663e+02,0.000000000000000000e+00
3.760388913231110797e-01,-1.799926935625851820e-01,-1.234521117246596550e-01,-3.810778374401728452e-02,7.244489840599125330e+01,-1.056243770705587508e+02,0.000000000000000000e+00
3.890625578613983171e-01,1.760429381940566140e-02,-7.581777483654279781e-02,1.212188087839255329e-01,1.081463082461777958e+02,2.511072621102711366e+01,0.000000000000000000e+00
9.496044068243660874e-01,1.843961799179824057e+00,1.234110335407075265e+00,3.210077895271917781e-04,-9.602453944089437243e+01,1.434762982148106971e+02,0.000000000000000000e+00
2.389993028509708739e-01,9.889599670735944870e-02,-2.737429844279503505e-02,2.186401104265539574e-02,2.628004295038914151e+01,9.494274516375810435e+01,0.000000000000000000e+00
1.975747334364922336e-01,2.761556698000102728e-01,7.646365774354679790e-01,4.682919136039925823e-02,-1.540853731629157721e+02,5.564937734852306050e+01,0.000000000000000000e+00
5.600602364990081572e-01,-4.499047385300374013e-02,-2.292222398468478084e-01,1.797124479348186088e-02,1.277883045350739479e+02,-2.508158186459666084e+01,0.000000000000000000e+00
6.393347778989700858e-01,-3.880737286464003288e-01,-3.857226865414395967e-01,-7.269615793150878413e-03,1.106345581883627176e+02,-1.113088936984069903e+02,0.000000000000000000e+00
5.208299771871414130e-01,7.528161701278875961e-01,-2.254202125184873451e-01,-6.354563116220451890e-02,4.687455541088792188e+01,1.565428533964230553e+02,0.000000000000000000e+00
1.750045454701819603e-01,2.677961073708321482e-01,-5.428105373800991285e-02,3.141144861083240702e-02,2.706000822802056760e+01,1.335008141857836392e+02,0.000000000000000000e+00
1.004471562022382636e-01,-2.460962255236276257e-03,-4.870839698769241499e-01,3.538657445209125729e-02,1.542290549549666423e+02,-7.792329585406784220e-01,0.000000000000000000e+00
4.373303546520001528e-01,-9.812904420189173804e-02,-8.983433228382476932e-01,-6.571265321577424157e-02,1.640659579898822926e+02,-1.792147304301131783e+01,0.000000000000000000e+00
1.175255955426868448e+00,-3.214451521367858028e-02,-9.642267471943347101e-02,4.169761198403053315e-02,9.515368677003083064e+01,-3.172147154097151045e+01,0.000000000000000000e+00
2.489427512991073677e-01,-2.175608201694340382e-01,4.713696451403168175e-01,4.134415572440139353e-02,-1.414604158992732721e+02,-6.529110311164330938e+01,0.000000000000000000e+00
1.721698846010226991e-01,-7.022949248398903388e-02,2.717206763755778964e-01,-3.614689914016908090e-02,-1.328780134622075764e+02,-3.434392837603819260e+01,0.000000000000000000e+00
3.278050277843397309e-01,6.151202603538851177e-01,-1.491664843596187118e-01,-1.577470045586495256e-02,3.769005319389943764e+01,1.554230860431767667e+02,0.000000000000000000e+00
1.841785693142669322e-01,2.311491926946582579e-03,-1.610742050944951112e-02,4.147651011136593846e-02,6.772385351040520618e+01,9.718697078727018379e+00,0.000000000000000000e+00
8.623336033494632957e-01,9.512808704722452990e-02,3.013382452922048604e-03,-3.024507517498248310e-02,-3.058747075302102214e+00,9.656018198175550538e+01,0.000000000000000000e+00
7.138946124507723479e-01,-1.810064962932630139e-01,-1.372930783790076992e-01,-4.233316058513295760e-02,7.838210584736893338e+01,-1.033385697154653400e+02,0.000000000000000000e+00
2.832160491277923575e-01,-7.976471058868330744e-01,-2.557436948764822415e-01,-7.730730381061889922e-02,5.013901673537753823e+01,-1.563801665190655399e+02,0.000000000000000000e+00
2.049985256737381634e-01,1.806244406061898455e-01,2.114201504780472973e-01,3.237075652780344592e-01,-1.145100915924202809e+02,9.783041583726485158e+01,0.000000000000000000e+00
8.512717101303279854e-02,-3.025067719772927544e-01,-2.043618721901247492e-01,-2.277220744225876697e-02,8.171269027163823750e+01,-1.209552540243760888e+02,0.000000000000000000e+00
1.949163982937660577e-01,-5.129597732150504852e-01,-1.447643973645100224e-01,1.185895824669505050e-01,4.261218292008503994e+01,-1.509924821629091127e+02,0.000000000000000000e+00
8.976049543951517551e-01,-6.043815522047186750e-01,-3.144790062453926005e-01,1.786061878939620984e-02,7.442125531488636625e+01,-1.430265070512753027e+02,0.000000000000000000e+00
4.218601882391024294e-01,-2.304182479306670153e-02,-1.385981992460715538e-02,-4.772107031985589609e-02,3.866990550177536790e+01,-6.428836681740722270e+01,0.000000000000000000e+00
3.824478200852555188e-01,-7.878664007082548659e-01,-4.711686461658567415e-01,1.702782626170511460e-01,8.486257118448558856e+01,-1.419032634239272284e+02,0.000000000000000000e+00
3.950945145383640278e-01,-5.551975888165130435e-01,-6.797964925918413837e-01,-9.931382684378084469e-03,1.275664260829153136e+02,-1.041849626277764571e+02,0.000000000000000000e+00
1.407800931805672229e-01,6.534691027197891966e-01,-1.556111796255005113e-02,-5.669470330950643344e-02,3.822699323298850427e+00,1.605293336105709727e+02,0.000000000000000000e+00
3.456103257131776241e-01,-7.007700481157322914e-01,8.140697577819229203e-01,-1.113625581290201005e-01,-1.262555063778029449e+02,-1.086836557106823733e+02,0.000000000000000000e+00
4.429190795855557639e-01,-6.551951299505624771e-02,8.367857956747438986e-02,-2.913734598319564495e-02,-7.906826742730228830e+01,-6.190968348145054989e+01,0.000000000000000000e+00
1.385419025390052794e-01,7.193807891375225694e-02,-1.119060432937428740e-01,1.705262540273595750e-03,9.072402431443602211e+01,5.832135448997687632e+01,0.000000000000000000e+00
2.079024807561564159e-01,1.789446881847848170e+00,3.223321987265030386e-01,-6.851407578804502574e-02,-3.018574437116357601e+01,1.675780029256927435e+02,0.000000000000000000e+00
3.639847954402317121e-01,1.456884912726782444e-01,8.339561059418835187e-01,1.329251222944665689e-01,-1.619837294837157344e+02,2.829785043968341185e+01,0.000000000000000000e+00
