mass,x,y,z,vx,vy,vz
1.714690702373281583e-01,1.596822590013829313e+00,2.038069987026344121e-01,-2.981691043559502735e-02,-1.977135490511541605e+01,1.549080568804870097e+02,0.000000000000000000e+00
9.854573511113859929e-01,1.048583309668077029e-01,-1.349616888989590979e-01,1.439176202406696435e-02,1.894088526288296066e+02,1.471609930123681522e+02,0.000000000000000000e+00
1.412879008454068774e+00,-3.939871079933832121e-01,3.058886614862473818e-01,-1.774242124397754777e-02,-1.260264115657454624e+02,-1.623230530426322673e+02,0.000000000000000000e+00
8.556674139120108713e-02,-1.197648444921230793e+00,-1.710600923829858622e-01,1.451897084166671459e-02,2.322173302203326983e+01,-1.625830551987960462e+02,0.000000000000000000e+00
8.446947582747024175e-01,9.532688329777844888e-03,-5.731724492857339509e-02,-1.344452407241586780e-02,2.134889480387700758e+02,3.550630540672056412e+01,0.000000000000000000e+00
4.286752579916358052e-01,-3.041410765608203448e-01,1.651434564936963501e+00,4.034687268957996842e-03,-1.528138015272218411e+02,-2.814338218215436171e+01,0.000000000000000000e+00
3.715941332280764953e-01,-3.713665184667948316e-02,2.109505881731185417e-01,-1.601343042512675952e-01,-2.278555405163429555e+02,-4.011267260628897446e+01,0.000000000000000000e+00
1.126128901022080686e-01,-2.619869954437572535e-01,-7.281810801339901051e-02,3.712705882916103595e-02,6.174228542614871884e+01,-2.221380957556759768e+02,0.000000000000000000e+00
1.236258952070944522e-01,-3.845861363790756826e-01,-5.132484062536764036e-01,-1.934497893486599243e-02,1.543951731403738847e+02,-1.156910423688422327e+02,0.000000000000000000e+00
8.345381870278731906e-01,-2.398918968069926549e+00,6.711009989570032586e-02,3.815318931098675426e-02,-4.300779058487532502e+00,-1.537357339196074690e+02,0.000000000000000000e+00
2.226209131609736547e-01,-2.124301881134104397e-01,3.973869148031868026e-02,7.146363499858355423e-03,-4.352879878538630720e+01,-2.326908755641858022e+02,0.000000000000000000e+00
7.653012352096419946e-01,5.270166631263538681e-01,3.042491240901836758e-01,3.487947323443735259e-03,-9.779453820439827894e+01,1.693985195539551682e+02,0.000000000000000000e+00
9.335581532691561435e-01,4.758546858906388677e-02,3.121270595729741179e-02,1.489229541425686476e-02,-1.183453574761320795e+02,1.804239369232064973e+02,0.000000000000000000e+00
1.490458302439661709e-01,3.855483735382055910e-01,4.745761291896679474e-02,-1.056312532659858458e-02,-2.653939193264655572e+01,2.156075446060935121e+02,0.000000000000000000e+00
