mass,x,y,z,vx,vy,vz
1.257605265655465709e+00,-8.929884324592186617e-01,-2.293921231166591301e+00,6.806084304697326837e-02,1.681393282064258017e+02,-6.545406751104705734e+01,0.000000000000000000e+00
2.360344665768472905e-01,-2.755607242669323442e-01,-1.020564334462813472e-01,1.013977671889705959e-02,5.229537965111428832e+01,-1.412018057642629572e+02,0.000000000000000000e+00
3.700052525486776100e-01,-1.899143753386115310e-02,-4.800506749775527715e-01,1.988379562770569570e-02,1.579054971160955461e+02,-6.246949626461514526e+00,0.000000000000000000e+00
4.136737672428349444e-01,-1.842964378815013515e-01,1.172215240835496886e-01,-1.797176598635001968e-02,-7.698488431149192479e+01,-1.210361327431206746e+02,0.000000000000000000e+00
4.031706589444232214e-01,1.765193992136487200e+00,1.580998425771731553e+00,1.467407198178727334e-03,-1.194450532354420176e+02,1.333611007605565248e+02,0.000000000000000000e+00
3.543335350836438469e-01,-1.047071859892373391e+00,-1.176377456767087881e-01,1.268237892561445423e-02,1.819829002513655780e+01,-1.619796203494680356e+02,0.000000000000000000e+00
1.996968188452908910e-01,3.639417758624413080e-01,2.569115042149868744e-01,-1.797729121048340789e-02,-9.067425345801672165e+01,1.284494788559439655e+02,0.000000000000000000e+00
1.324378862032147275e-01,1.216671797854204477e-02,-3.874004553631859443e-02,-6.065204792085081287e-02,1.002692704091853386e+02,3.149061695962732443e+01,0.000000000000000000e+00
2.112255988702710363e-01,-5.889825372400894210e-01,2.113272013318642006e+00,-1.333215636615518729e-02,-1.699337924233490185e+02,-4.736164374180985703e+01,0.000000000000000000e+00
2.239801762786677863e-01,-7.633376221834851094e-01,-1.368036606480282080e-01,-6.660620486585344668e-02,2.844204328728852005e+01,-1.587010288329700245e+02,0.000000000000000000e+00
1.729273307746193034e+00,-4.765587405422763712e-01,1.814470094365734365e-01,-6.346158886216358291e-03,-5.642594299790639667e+01,-1.481990604997670573e+02,0.000000000000000000e+00
1.601455521133027526e-01,8.803599306512858991e-02,-7.533655859400910648e-01,1.178042642834944975e-02,1.600129377856026451e+02,1.869862141850528303e+01,0.000000000000000000e+00
4.397125932855563413e-01,3.167592768125445657e-01,4.133846068109054417e-01,-1.863150083150319491e-02,-1.260211435225501901e+02,9.656471389500177338e+01,0.000000000000000000e+00
8.441804852814832616e-02,-3.843049596015215008e-01,4.241402729012963557e-01,-5.443074661226260380e-03,-1.181893800032031692e+02,-1.070890170291137196e+02,0.000000000000000000e+00
3.315588155360024158e-01,6.897114498366732072e-01,1.226561323739556952e+00,-4.102006086582017652e-03,-1.447974541584624717e+02,8.142149936361276730e+01,0.000000000000000000e+00
2.883342291232685595e-01,3.725681202276552306e-01,6.995637171487414374e-01,-4.599878975280945193e-02,-1.423932372895079652e+02,7.583466587762254107e+01,0.000000000000000000e+00
2.341846740760299972e-01,-4.725374396232469021e-01,-2.186090891842358552e-01,7.990100629608712368e-03,6.665806504127344567e+01,-1.440856439335762218e+02,0.000000000000000000e+00
3.035661683779210529e-01,2.358569444557923611e-01,-1.975309258170432125e+00,7.951043880714617207e-04,1.722246199839009648e+02,2.056405722873299169e+01,0.000000000000000000e+00
6.678652687447462766e-01,1.889678964290489593e-01,4.182784694204785825e-01,-2.006053598561424040e-02,-1.435869847915276409e+02,6.486905842473277062e+01,0.000000000000000000e+00
1.625497428102651853e-01,-1.551327783173422903e-01,1.044555581536153570e-02,-1.737442232956984411e-02,-8.942314860210636596e+00,-1.328073080431783524e+02,0.000000000000000000e+00
