mass,x,y,z,vx,vy,vz
1.086300227689935005e-01,-1.577617450158745604e-02,-3.172408318933734456e-02,1.740091708138690602e-02,6.418452370544243024e+01,-3.191853457939086169e+01,0.000000000000000000e+00
1.834838584487717139e-01,-7.367015479477596607e-01,-4.314346859299074133e-01,-8.667428450892321334e-03,1.169042140634817173e+02,-1.996212132933956980e+02,0.000000000000000000e+00
3.807141380622091065e-01,-2.109560273030457012e+00,-4.345182792874441868e-01,1.151669607717879795e-02,4.370901574772387477e+01,-2.122046587910377013e+02,0.000000000000000000e+00
1.262731122992529098e+00,2.527463978671741218e-01,1.935534683766141351e-01,7.813437105819179274e-03,-1.645358326216412195e+02,2.148545276092849576e+02,0.000000000000000000e+00
2.096441093528901289e-01,1.808134384910526499e-02,8.254501163833163901e-02,-2.989805122823546712e-02,-1.457966044674559782e+02,3.193649725265639105e+01,0.000000000000000000e+00
4.659941851201183094e-01,2.075383418088470877e-02,1.745332575585002988e-01,7.939823441035796792e-03,-2.308924703958233806e+02,2.745553547353915036e+01,0.000000000000000000e+00
8.763917758642222888e-02,5.992593405595793010e-01,-1.129835261588406498e-01,5.685183193424911408e-02,4.641610391425851390e+01,2.461888451233029116e+02,0.000000000000000000e+00
3.224049467039216132e-01,-2.051428681340556615e-01,2.239878010004197340e-01,5.587955198276779029e-03,-1.989742822333089691e+02,-1.822338304137357454e+02,0.000000000000000000e+00
1.790607483000937472e-01,1.727777238712869257e-01,2.881856627237791568e-01,-6.366653589919461786e-02,-2.325171463518365158e+02,1.394024356660069941e+02,0.000000000000000000e+00
4.304980355022757776e-01,8.201833247793020865e-03,1.326662225670045131e-02,-5.119206384386797842e-02,-8.101923087205666718e+01,5.008857632480167155e+01,0.000000000000000000e+00
2.664799839148616623e-01,-1.826403484957514478e-02,-2.688637319646253188e-02,-1.719111782884032158e-02,5.543458044051806155e+01,-3.765696107983835361e+01,0.000000000000000000e+00
2.377794534846772723e-01,-1.784743736001785305e-02,3.942566249114903831e-02,-4.922051656117657631e-02,-1.042042834950970018e+02,-4.717179889473770515e+01,0.000000000000000000e+00
1.426978484421233540e-01,-5.676478186664217496e-02,7.817886652597275110e-02,4.605858824787249783e-03,-1.282996710699024163e+02,-9.315692546431854737e+01,0.000000000000000000e+00
3.501251201867228713e-01,-1.144099735938480800e-01,-2.337688323663698609e-01,1.235773035148393650e-03,2.374545073187900925e+02,-1.162137982085898784e+02,0.000000000000000000e+00
4.047496094630017027e-01,-1.555187950832182531e-01,1.064093846962308604e-01,-3.658963347383796527e-02,-1.363929484142489343e+02,-1.993401903016818721e+02,0.000000000000000000e+00
3.050409829072644463e-01,1.024108595309157765e-01,-7.494714096031523422e-03,-3.829421908171646780e-03,1.212409216769593989e+01,1.656685877561676534e+02,0.000000000000000000e+00
9.426574822487274186e-02,2.390312479770827780e-01,1.261682903133306000e-01,3.214055769576783933e-02,-1.243509257974601070e+02,2.355881728020212051e+02,0.000000000000000000e+00
2.659165022581262416e-01,-4.542801580147832197e-01,-9.868350239050611983e-02,6.160328614365168098e-02,5.606998548270496485e+01,-2.581128683918732349e+02,0.000000000000000000e+00
2.413223345071183190e-01,-9.266286118399695571e-02,3.825793113058086337e-01,3.554531182660060351e-02,-2.620010009332908112e+02,-6.345811616599347360e+01,0.000000000000000000e+00
1.335587938795300689e+00,-2.230345514453170863e-01,-8.143665665996105418e-02,9.927669691990957668e-02,9.047945854486431472e+01,-2.478005148938125046e+02,0.000000000000000000e+00
2.489651617224529767e-01,1.159986787850811329e-01,6.335625106273781726e-02,-1.448979855098394762e-02,-9.539705557789901036e+01,1.746620455188443088e+02,0.000000000000000000e+00
6.631570813883823634e-01,-7.117424167501158749e-02,-8.480253606020662915e-02,2.493601162834331031e-01,2.041228837628163433e+02,-1.713190682177293240e+02,0.000000000000000000e+00
2.101727413020815782e-01,-3.348660319912588057e-01,-4.040341154624991216e-01,-8.249456253591982979e-03,1.993674561525764091e+02,-1.652370094381326453e+02,0.000000000000000000e+00
8.730644918137991928e-01,-5.198582925603658644e-01,1.664013205800761452e-01,1.132543673871134471e-01,-7.797835987223540144e+01,-2.436140343028730797e+02,0.000000000000000000e+00
8.608827186442878643e-02,-3.290152356826042679e-01,-1.795286298088564769e-01,-9.894386963447958372e-03,1.295658018753575789e+02,-2.374502767932527831e+02,0.000000000000000000e+00
2.250346542552556506e-01,-4.099089499786947033e-01,-8.607630086542082670e-02,-2.392279479652642885e-02,5.509100428017163154e+01,-2.623520700902801650e+02,0.000000000000000000e+00
2.917001171502043855e-01,6.353352312108329070e-02,-8.065762977823301427e-02,-1.924930142433025140e-02,1.321248150414361362e+02,1.040739111028193378e+02,0.000000000000000000e+00
3.799808251358338107e-01,2.919006564162802131e-01,3.199270099179010174e-01,3.842452863723727630e-03,-1.973047406518704179e+02,1.800203844155089996e+02,0.000000000000000000e+00
5.173298106181460909e-01,-1.400091215109049159e-01,-1.237843705036232311e-01,-3.908550307573688959e-03,1.582268357307012536e+02,-1.789660534684167601e+02,0.000000000000000000e+00
1.120966686581239269e-01,5.330753398597854603e-02,1.034095657105283395e-01,-2.805301759390275984e-02,-1.649252902575336179e+02,8.501883220515007622e+01,0.000000000000000000e+00
3.589245922274537648e-01,1.003138509892675528e-01,2.862896228753528116e-01,9.027328725613216476e-03,-2.546160106364939963e+02,8.921564216664428670e+01,0.000000000000000000e+00
2.093251403268345801e-01,9.531754819632350939e-01,-3.941084396436141946e-01,2.090858954327523556e-02,8.488292080024675101e+01,2.052945605970437271e+02,0.000000000000000000e+00
1.006496857957295044e+00,-5.490189896572693629e-01,-2.864300652665562330e-01,2.491699034250043771e-02,1.155645034088828851e+02,-2.215099411535031493e+02,0.000000000000000000e+00
9.543449132612106256e-01,-3.590322884153956395e-01,-1.719055659988818208e-01,4.426058832720145518e-03,1.163500915616987896e+02,-2.430022517770555908e+02,0.000000000000000000e+00
